"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,FALSE,TRUE,2,1,0.028565,0.016187,0.043702,0.53909
"lemmatization",TRUE,FALSE,TRUE,2,1,0.045402,0.027194,0.070279,0.731582
"stemming",TRUE,FALSE,TRUE,2,1,0.031236,0.013374,0.054706,0.732817
"none",FALSE,FALSE,TRUE,2,1,0.043931,0.025222,0.063638,0.723793
"lemmatization",FALSE,FALSE,TRUE,2,1,0.043451,0.027442,0.064793,0.712899
"stemming",FALSE,FALSE,TRUE,2,1,0.036186,0.017586,0.055087,0.710403
"none",TRUE,TRUE,FALSE,2,1,-0.00027,-0.005194,0.005009,0.356731
"lemmatization",TRUE,TRUE,FALSE,2,1,0.022772,0.013817,0.032376,0.75988
"stemming",TRUE,TRUE,FALSE,2,1,0.010385,0.005228,0.015614,0.514672
"none",FALSE,TRUE,FALSE,2,1,0.019479,0.009444,0.029811,0.737966
"lemmatization",FALSE,TRUE,FALSE,2,1,0.020073,0.012279,0.027526,0.630612
"stemming",FALSE,TRUE,FALSE,2,1,0.03629,0.02799,0.045037,0.733435
"none",TRUE,FALSE,FALSE,2,1,0.020128,0.011597,0.028421,0.514794
"lemmatization",TRUE,FALSE,FALSE,2,1,0.023355,0.015194,0.031378,0.380489
"stemming",TRUE,FALSE,FALSE,2,1,0.022728,0.013924,0.031537,0.714434
"none",FALSE,FALSE,FALSE,2,1,0.024231,0.013841,0.033314,0.674611
"lemmatization",FALSE,FALSE,FALSE,2,1,0.018259,0.008191,0.028057,0.742862
"stemming",FALSE,FALSE,FALSE,2,1,0.019496,0.00974,0.029302,0.724985
"none",TRUE,TRUE,TRUE,3,1,0.027629,-0.006436,0.055319,0.645103
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.015233,-0.035033,0.007544,0.508252
"stemming",TRUE,TRUE,TRUE,3,1,0.093778,0.043868,0.136259,0.517225
"none",FALSE,TRUE,TRUE,3,1,0.048414,0.018557,0.071027,0.628668
"lemmatization",FALSE,TRUE,TRUE,3,1,0.055436,0.035395,0.079566,0.664591
"stemming",FALSE,TRUE,TRUE,3,1,0.056265,0.024501,0.082581,0.709139
"none",TRUE,FALSE,TRUE,3,1,0.040908,0.02333,0.060218,0.740555
"lemmatization",TRUE,FALSE,TRUE,3,1,0.045993,0.02787,0.06827,0.7227
"stemming",TRUE,FALSE,TRUE,3,1,0.041229,0.02423,0.062068,0.738178
"none",FALSE,FALSE,TRUE,3,1,0.045153,0.025948,0.066661,0.717075
"lemmatization",FALSE,FALSE,TRUE,3,1,0.068621,0.040239,0.09179,0.563287
"stemming",FALSE,FALSE,TRUE,3,1,0.030881,0.000906,0.053042,0.728781
"none",TRUE,TRUE,FALSE,3,1,0.035213,0.029798,0.040545,0.664284
"lemmatization",TRUE,TRUE,FALSE,3,1,0.02458,0.01757,0.032114,0.691184
"stemming",TRUE,TRUE,FALSE,3,1,0.022422,0.014397,0.030422,0.758919
"none",FALSE,TRUE,FALSE,3,1,0.029168,0.019593,0.038542,0.768974
"lemmatization",FALSE,TRUE,FALSE,3,1,0.022305,0.013038,0.030904,0.747083
"stemming",FALSE,TRUE,FALSE,3,1,-0.001034,-0.007525,0.005774,0.748352
"none",TRUE,FALSE,FALSE,3,1,0.012923,0.00523,0.020584,0.590356
"lemmatization",TRUE,FALSE,FALSE,3,1,0.00459,-0.003815,0.013348,0.631477
"stemming",TRUE,FALSE,FALSE,3,1,0.034842,0.027047,0.042689,0.687027
"none",FALSE,FALSE,FALSE,3,1,0.017501,0.00815,0.026355,0.677575
"lemmatization",FALSE,FALSE,FALSE,3,1,0.021739,0.013903,0.030332,0.666904
"stemming",FALSE,FALSE,FALSE,3,1,0.021403,0.011286,0.03101,0.78436
"none",TRUE,TRUE,TRUE,1,2,0.046299,0.016129,0.074726,0.614783
"lemmatization",TRUE,TRUE,TRUE,1,2,0.038772,0.016605,0.060078,0.752131
"stemming",TRUE,TRUE,TRUE,1,2,0.03885,0.013796,0.06422,0.777907
"none",FALSE,TRUE,TRUE,1,2,0.054155,0.016853,0.087291,0.547858
"lemmatization",FALSE,TRUE,TRUE,1,2,0.070676,0.050466,0.095867,0.652702
"stemming",FALSE,TRUE,TRUE,1,2,0.099755,0.068116,0.127379,0.624383
"none",TRUE,FALSE,TRUE,1,2,0.037882,0.018059,0.059532,0.730291
"lemmatization",TRUE,FALSE,TRUE,1,2,0.050353,0.033447,0.071526,0.71833
"stemming",TRUE,FALSE,TRUE,1,2,0.07734,0.058024,0.106615,0.637944
"none",FALSE,FALSE,TRUE,1,2,0.045147,0.026359,0.065487,0.725931
"lemmatization",FALSE,FALSE,TRUE,1,2,0.063801,0.044877,0.087586,0.660432
"stemming",FALSE,FALSE,TRUE,1,2,0.044418,0.026462,0.065818,0.732663
"none",TRUE,TRUE,FALSE,1,2,0.013913,0.01045,0.017486,0.614366
"lemmatization",TRUE,TRUE,FALSE,1,2,-0.000484,-0.004977,0.003766,0.398734
"stemming",TRUE,TRUE,FALSE,1,2,0.014495,0.005129,0.023888,0.803773
"none",FALSE,TRUE,FALSE,1,2,0.020413,0.011429,0.029513,0.743461
"lemmatization",FALSE,TRUE,FALSE,1,2,0.014679,0.00687,0.022505,0.706782
"stemming",FALSE,TRUE,FALSE,1,2,0.019153,0.009294,0.02914,0.77608
"none",TRUE,FALSE,FALSE,1,2,0.02364,0.014125,0.033041,0.66971
"lemmatization",TRUE,FALSE,FALSE,1,2,0.01717,0.010464,0.023537,0.428774
"stemming",TRUE,FALSE,FALSE,1,2,0.012433,0.004914,0.019202,0.603009
"none",FALSE,FALSE,FALSE,1,2,0.020364,0.009906,0.030925,0.728633
"lemmatization",FALSE,FALSE,FALSE,1,2,0.02032,0.011006,0.029617,0.73037
"stemming",FALSE,FALSE,FALSE,1,2,0.016376,0.006483,0.025892,0.769644
"none",TRUE,TRUE,TRUE,2,2,0.062244,0.044142,0.087397,0.666822
"lemmatization",TRUE,TRUE,TRUE,2,2,0.05927,0.038704,0.084726,0.717696
"stemming",TRUE,TRUE,TRUE,2,2,0.06049,0.031685,0.089668,0.662336
"none",FALSE,TRUE,TRUE,2,2,0.041432,0.016506,0.063794,0.738629
"lemmatization",FALSE,TRUE,TRUE,2,2,0.00365,-0.022819,0.035252,0.565688
"stemming",FALSE,TRUE,TRUE,2,2,0.045712,0.02608,0.068603,0.751423
"none",TRUE,FALSE,TRUE,2,2,0.034896,0.018497,0.056487,0.729232
"lemmatization",TRUE,FALSE,TRUE,2,2,0.036176,0.018867,0.05814,0.717278
"stemming",TRUE,FALSE,TRUE,2,2,0.034672,0.018068,0.055913,0.742414
"none",FALSE,FALSE,TRUE,2,2,0.038103,0.01721,0.060756,0.703006
"lemmatization",FALSE,FALSE,TRUE,2,2,0.042064,0.021502,0.063333,0.72655
"stemming",FALSE,FALSE,TRUE,2,2,0.038771,0.020067,0.060785,0.728345
"none",TRUE,TRUE,FALSE,2,2,0.010822,0.007135,0.015021,0.222928
"lemmatization",TRUE,TRUE,FALSE,2,2,0.004112,0.000206,0.007994,0.167341
"stemming",TRUE,TRUE,FALSE,2,2,-0.000217,-0.004833,0.004761,0.213432
"none",FALSE,TRUE,FALSE,2,2,0.019708,0.009219,0.030579,0.737879
"lemmatization",FALSE,TRUE,FALSE,2,2,-0.005911,-0.010383,-0.001226,0.325256
"stemming",FALSE,TRUE,FALSE,2,2,0.019889,0.009626,0.030392,0.79334
"none",TRUE,FALSE,FALSE,2,2,0.014556,0.007147,0.022317,0.404146
"lemmatization",TRUE,FALSE,FALSE,2,2,0.002595,-0.004572,0.009001,0.155509
"stemming",TRUE,FALSE,FALSE,2,2,0.011773,0.003607,0.02106,0.596134
"none",FALSE,FALSE,FALSE,2,2,0.019824,0.0101,0.029301,0.698664
"lemmatization",FALSE,FALSE,FALSE,2,2,0.020689,0.010168,0.030512,0.702477
"stemming",FALSE,FALSE,FALSE,2,2,0.029925,0.020123,0.039757,0.717535
"none",TRUE,TRUE,TRUE,3,2,-0.001624,-0.034311,0.023648,0.564956
"lemmatization",TRUE,TRUE,TRUE,3,2,-0.007983,-0.032886,0.018929,0.532282
"stemming",TRUE,TRUE,TRUE,3,2,0.061349,0.018362,0.102002,0.479266
"none",FALSE,TRUE,TRUE,3,2,0.032949,0.007192,0.052112,0.731399
"lemmatization",FALSE,TRUE,TRUE,3,2,0.047705,0.018633,0.073667,0.59192
"stemming",FALSE,TRUE,TRUE,3,2,0.098149,0.067017,0.127707,0.595929
"none",TRUE,FALSE,TRUE,3,2,0.032588,0.013875,0.052861,0.725374
"lemmatization",TRUE,FALSE,TRUE,3,2,0.043782,0.019504,0.06501,0.744351
"stemming",TRUE,FALSE,TRUE,3,2,0.0536,0.018206,0.085737,0.582005
"none",FALSE,FALSE,TRUE,3,2,0.055721,0.036699,0.07824,0.72889
"lemmatization",FALSE,FALSE,TRUE,3,2,0.048381,0.0292,0.070635,0.733674
"stemming",FALSE,FALSE,TRUE,3,2,0.065599,0.048252,0.087104,0.66886
"none",TRUE,TRUE,FALSE,3,2,0.019237,0.014338,0.02397,0.602934
"lemmatization",TRUE,TRUE,FALSE,3,2,0.014475,0.010872,0.017893,0.557103
"stemming",TRUE,TRUE,FALSE,3,2,0.007122,0.000815,0.01369,0.775858
"none",FALSE,TRUE,FALSE,3,2,0.021474,0.011595,0.030774,0.730656
"lemmatization",FALSE,TRUE,FALSE,3,2,0.023479,0.015561,0.0317,0.745057
"stemming",FALSE,TRUE,FALSE,3,2,0.020631,0.009609,0.031086,0.783824
"none",TRUE,FALSE,FALSE,3,2,-0.003545,-0.010369,0.002707,0.431614
"lemmatization",TRUE,FALSE,FALSE,3,2,0.002175,-0.004626,0.009416,0.586624
"stemming",TRUE,FALSE,FALSE,3,2,0.018264,0.009679,0.026194,0.734976
"none",FALSE,FALSE,FALSE,3,2,0.009574,0.002174,0.016614,0.631607
"lemmatization",FALSE,FALSE,FALSE,3,2,0.024177,0.013922,0.033916,0.739544
"stemming",FALSE,FALSE,FALSE,3,2,0.009426,0.001965,0.016508,0.696879
"none",TRUE,TRUE,TRUE,1,3,0.043983,0.010838,0.072635,0.649609
"lemmatization",TRUE,TRUE,TRUE,1,3,0.077789,0.057397,0.100919,0.663841
"stemming",TRUE,TRUE,TRUE,1,3,0.0645,0.038103,0.090054,0.654539
"none",FALSE,TRUE,TRUE,1,3,0.080371,0.056385,0.102372,0.594042
"lemmatization",FALSE,TRUE,TRUE,1,3,0.045125,0.021125,0.070107,0.729754
"stemming",FALSE,TRUE,TRUE,1,3,0.089595,0.067201,0.118912,0.664314
"none",TRUE,FALSE,TRUE,1,3,0.037129,0.018605,0.056427,0.738048
"lemmatization",TRUE,FALSE,TRUE,1,3,0.043197,0.024053,0.063445,0.714579
"stemming",TRUE,FALSE,TRUE,1,3,0.03645,0.018251,0.056098,0.748575
"none",FALSE,FALSE,TRUE,1,3,0.036767,0.017049,0.056937,0.714804
"lemmatization",FALSE,FALSE,TRUE,1,3,0.054878,0.033644,0.079499,0.725576
"stemming",FALSE,FALSE,TRUE,1,3,0.038812,0.01958,0.059278,0.740781
"none",TRUE,TRUE,FALSE,1,3,0.025976,0.019092,0.032585,0.733284
"lemmatization",TRUE,TRUE,FALSE,1,3,0.02609,0.019006,0.03286,0.664329
"stemming",TRUE,TRUE,FALSE,1,3,0.019032,0.013662,0.024282,0.522025
"none",FALSE,TRUE,FALSE,1,3,0.020677,0.010864,0.031061,0.752737
"lemmatization",FALSE,TRUE,FALSE,1,3,0.022136,0.01322,0.031798,0.761326
"stemming",FALSE,TRUE,FALSE,1,3,0.021113,0.01042,0.031184,0.778735
"none",TRUE,FALSE,FALSE,1,3,0.01073,0.003296,0.018118,0.608921
"lemmatization",TRUE,FALSE,FALSE,1,3,0.002494,-0.004317,0.009152,0.394208
"stemming",TRUE,FALSE,FALSE,1,3,0.017897,0.00768,0.028008,0.765664
"none",FALSE,FALSE,FALSE,1,3,0.0306,0.022116,0.039264,0.665676
"lemmatization",FALSE,FALSE,FALSE,1,3,0.022697,0.013345,0.032314,0.708627
"stemming",FALSE,FALSE,FALSE,1,3,0.033797,0.024357,0.043288,0.738643
"none",TRUE,TRUE,TRUE,2,3,0.057388,0.029481,0.083209,0.660878
"lemmatization",TRUE,TRUE,TRUE,2,3,0.048666,0.028135,0.070988,0.731964
"stemming",TRUE,TRUE,TRUE,2,3,0.052663,0.034073,0.075289,0.762958
"none",FALSE,TRUE,TRUE,2,3,0.082097,0.0561,0.106273,0.562444
"lemmatization",FALSE,TRUE,TRUE,2,3,0.080625,0.061221,0.10552,0.650754
"stemming",FALSE,TRUE,TRUE,2,3,0.03012,-0.000366,0.054496,0.746988
"none",TRUE,FALSE,TRUE,2,3,0.029301,0.009521,0.051868,0.747531
"lemmatization",TRUE,FALSE,TRUE,2,3,0.037609,0.019818,0.059623,0.725572
"stemming",TRUE,FALSE,TRUE,2,3,0.038111,0.017063,0.060618,0.749219
"none",FALSE,FALSE,TRUE,2,3,0.043365,0.026205,0.062678,0.713965
"lemmatization",FALSE,FALSE,TRUE,2,3,0.044735,0.027689,0.068811,0.709586
"stemming",FALSE,FALSE,TRUE,2,3,0.037972,0.017708,0.059042,0.721703
"none",TRUE,TRUE,FALSE,2,3,0.031982,0.023638,0.040112,0.636238
"lemmatization",TRUE,TRUE,FALSE,2,3,-0.000309,-0.008502,0.007646,0.497003
"stemming",TRUE,TRUE,FALSE,2,3,0.017075,0.008668,0.024798,0.73273
"none",FALSE,TRUE,FALSE,2,3,0.020986,0.01097,0.031668,0.727087
"lemmatization",FALSE,TRUE,FALSE,2,3,0.017688,0.007176,0.028438,0.735492
"stemming",FALSE,TRUE,FALSE,2,3,0.025006,0.014474,0.036332,0.782812
"none",TRUE,FALSE,FALSE,2,3,-0.002848,-0.011475,0.005729,0.538416
"lemmatization",TRUE,FALSE,FALSE,2,3,0.02206,0.012401,0.031364,0.732165
"stemming",TRUE,FALSE,FALSE,2,3,-0.00915,-0.017715,-0.001332,0.415212
"none",FALSE,FALSE,FALSE,2,3,0.020236,0.010217,0.030441,0.729112
"lemmatization",FALSE,FALSE,FALSE,2,3,0.026008,0.015975,0.035788,0.723853
"stemming",FALSE,FALSE,FALSE,2,3,0.021641,0.011796,0.031681,0.765279
"none",TRUE,TRUE,TRUE,3,3,0.14402,0.108655,0.182367,0.479312
"lemmatization",TRUE,TRUE,TRUE,3,3,0.00016,-0.028979,0.031173,0.619033
"stemming",TRUE,TRUE,TRUE,3,3,0.031369,-0.003401,0.063184,0.741352
"none",FALSE,TRUE,TRUE,3,3,0.032571,0.004864,0.058544,0.734717
"lemmatization",FALSE,TRUE,TRUE,3,3,0.07589,0.050247,0.099343,0.673264
"stemming",FALSE,TRUE,TRUE,3,3,0.067764,0.040116,0.093006,0.669748
"none",TRUE,FALSE,TRUE,3,3,0.050402,0.03075,0.071343,0.686255
"lemmatization",TRUE,FALSE,TRUE,3,3,0.042871,0.0234,0.064251,0.727494
"stemming",TRUE,FALSE,TRUE,3,3,-0.022565,-0.04831,0.006625,0.583052
"none",FALSE,FALSE,TRUE,3,3,0.039602,0.008996,0.066031,0.667904
"lemmatization",FALSE,FALSE,TRUE,3,3,0.04755,0.028087,0.07041,0.709721
"stemming",FALSE,FALSE,TRUE,3,3,0.043727,0.024877,0.065809,0.742029
"none",TRUE,TRUE,FALSE,3,3,0.015179,0.010831,0.020096,0.402071
"lemmatization",TRUE,TRUE,FALSE,3,3,0.016822,0.011398,0.022949,0.557031
"stemming",TRUE,TRUE,FALSE,3,3,0.018911,0.010236,0.027754,0.714622
"none",FALSE,TRUE,FALSE,3,3,0.020439,0.01008,0.030916,0.746721
"lemmatization",FALSE,TRUE,FALSE,3,3,0.020013,0.012937,0.027178,0.720049
"stemming",FALSE,TRUE,FALSE,3,3,0.025406,0.016686,0.034415,0.771502
"none",TRUE,FALSE,FALSE,3,3,0.02894,0.020395,0.037702,0.722709
"lemmatization",TRUE,FALSE,FALSE,3,3,0.010695,0.004252,0.017293,0.61092
"stemming",TRUE,FALSE,FALSE,3,3,0.027363,0.021423,0.033669,0.531313
"none",FALSE,FALSE,FALSE,3,3,0.023829,0.01451,0.033424,0.725199
"lemmatization",FALSE,FALSE,FALSE,3,3,0.025783,0.018539,0.03293,0.607083
"stemming",FALSE,FALSE,FALSE,3,3,0.020881,0.010983,0.030867,0.750537
